"filename", "language", "JavaScript", "JSON", "Markdown", "comment", "blank", "total"
"d:\Projects\College Projects\Book Trading\book-trading-node\README.md", "Markdown", 0, 0, 2, 0, 2, 4
"d:\Projects\College Projects\Book Trading\book-trading-node\controllers\auctionController.js", "JavaScript", 107, 0, 0, 14, 13, 134
"d:\Projects\College Projects\Book Trading\book-trading-node\controllers\authController.js", "JavaScript", 82, 0, 0, 8, 17, 107
"d:\Projects\College Projects\Book Trading\book-trading-node\controllers\bookController.js", "JavaScript", 157, 0, 0, 20, 15, 192
"d:\Projects\College Projects\Book Trading\book-trading-node\controllers\conversationController.js", "JavaScript", 43, 0, 0, 6, 4, 53
"d:\Projects\College Projects\Book Trading\book-trading-node\controllers\errorController.js", "JavaScript", 34, 0, 0, 5, 7, 46
"d:\Projects\College Projects\Book Trading\book-trading-node\controllers\exchangeController.js", "JavaScript", 147, 0, 0, 22, 13, 182
"d:\Projects\College Projects\Book Trading\book-trading-node\controllers\messageController.js", "JavaScript", 47, 0, 0, 6, 5, 58
"d:\Projects\College Projects\Book Trading\book-trading-node\controllers\stripeController.js", "JavaScript", 110, 0, 0, 12, 8, 130
"d:\Projects\College Projects\Book Trading\book-trading-node\controllers\userController.js", "JavaScript", 111, 0, 0, 15, 14, 140
"d:\Projects\College Projects\Book Trading\book-trading-node\controllers\walletController.js", "JavaScript", 155, 0, 0, 17, 18, 190
"d:\Projects\College Projects\Book Trading\book-trading-node\middleware\auth.js", "JavaScript", 19, 0, 0, 0, 9, 28
"d:\Projects\College Projects\Book Trading\book-trading-node\models\Auction.js", "JavaScript", 64, 0, 0, 0, 4, 68
"d:\Projects\College Projects\Book Trading\book-trading-node\models\Book.js", "JavaScript", 84, 0, 0, 0, 4, 88
"d:\Projects\College Projects\Book Trading\book-trading-node\models\Conversation.js", "JavaScript", 14, 0, 0, 0, 4, 18
"d:\Projects\College Projects\Book Trading\book-trading-node\models\Exchange.js", "JavaScript", 50, 0, 0, 0, 4, 54
"d:\Projects\College Projects\Book Trading\book-trading-node\models\Message.js", "JavaScript", 19, 0, 0, 0, 4, 23
"d:\Projects\College Projects\Book Trading\book-trading-node\models\Order.js", "JavaScript", 18, 0, 0, 0, 4, 22
"d:\Projects\College Projects\Book Trading\book-trading-node\models\User.js", "JavaScript", 66, 0, 0, 2, 6, 74
"d:\Projects\College Projects\Book Trading\book-trading-node\models\Wallet.js", "JavaScript", 54, 0, 0, 0, 5, 59
"d:\Projects\College Projects\Book Trading\book-trading-node\package-lock.json", "JSON", 0, 5194, 0, 0, 1, 5195
"d:\Projects\College Projects\Book Trading\book-trading-node\package.json", "JSON", 0, 30, 0, 0, 1, 31
"d:\Projects\College Projects\Book Trading\book-trading-node\routes\auctionRoutes.js", "JavaScript", 14, 0, 0, 0, 5, 19
"d:\Projects\College Projects\Book Trading\book-trading-node\routes\authRoutes.js", "JavaScript", 6, 0, 0, 0, 5, 11
"d:\Projects\College Projects\Book Trading\book-trading-node\routes\bookRoutes.js", "JavaScript", 19, 0, 0, 0, 6, 25
"d:\Projects\College Projects\Book Trading\book-trading-node\routes\conversationRoutes.js", "JavaScript", 7, 0, 0, 0, 5, 12
"d:\Projects\College Projects\Book Trading\book-trading-node\routes\exchangeRoutes.js", "JavaScript", 18, 0, 0, 0, 5, 23
"d:\Projects\College Projects\Book Trading\book-trading-node\routes\messageRoutes.js", "JavaScript", 7, 0, 0, 0, 5, 12
"d:\Projects\College Projects\Book Trading\book-trading-node\routes\stripeRoutes.js", "JavaScript", 17, 0, 0, 0, 4, 21
"d:\Projects\College Projects\Book Trading\book-trading-node\routes\userRoutes.js", "JavaScript", 10, 0, 0, 0, 5, 15
"d:\Projects\College Projects\Book Trading\book-trading-node\routes\walletRoutes.js", "JavaScript", 9, 0, 0, 0, 5, 14
"d:\Projects\College Projects\Book Trading\book-trading-node\server.js", "JavaScript", 125, 0, 0, 9, 22, 156
"d:\Projects\College Projects\Book Trading\book-trading-node\socket\index.js", "JavaScript", 59, 0, 0, 5, 13, 77
"d:\Projects\College Projects\Book Trading\book-trading-node\socket\package-lock.json", "JSON", 0, 1023, 0, 0, 1, 1024
"d:\Projects\College Projects\Book Trading\book-trading-node\socket\package.json", "JSON", 0, 16, 0, 0, 1, 17
"d:\Projects\College Projects\Book Trading\book-trading-node\utils\apiError.js", "JavaScript", 9, 0, 0, 0, 2, 11
"d:\Projects\College Projects\Book Trading\book-trading-node\utils\isEmpty.js", "JavaScript", 9, 0, 0, 0, 2, 11
"d:\Projects\College Projects\Book Trading\book-trading-node\utils\multer.js", "JavaScript", 20, 0, 0, 2, 4, 26
"d:\Projects\College Projects\Book Trading\book-trading-node\validation\inputValidator.js", "JavaScript", 35, 0, 0, 4, 9, 48
"d:\Projects\College Projects\Book Trading\book-trading-node\validation\registerValidator.js", "JavaScript", 15, 0, 0, 0, 5, 20
"Total", "-", 1760, 6263, 2, 147, 266, 8438